Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action,Video ID
1,592.4243867799033,222.63492829849804,506.8261095315074,241.01666227708813,,,491.33613304583776,161.11615227859,1,sample_102
2,592.280833987198,222.6991034827407,506.9009455496912,240.9959887511789,608.5892729912704,136.3231202742981,490.9175086491588,161.13687050552113,1,sample_102
3,592.4218179166719,222.4684037255325,506.74139448708354,240.78160151960168,608.2692263945531,135.97307693496805,490.0855821286453,160.9887970153198,1,sample_102
4,592.5222582892081,221.84449923432948,506.4456271983684,240.53504987915915,608.04492701623,135.4292768197565,489.1208818953298,160.76344297471977,1,sample_102
5,592.7322697250387,221.02515822289035,505.8492972387272,240.42292583351528,,,487.8754799326507,160.5644374296517,1,sample_102
6,592.6392119592426,220.0583647048184,505.52474625648864,240.24302911027723,606.2897429533466,134.03740460704742,486.6388148787096,160.58230924607838,1,sample_102
7,,,505.02096693591886,239.92252768698827,604.7201910615681,133.32643205542004,485.7697634981542,160.33297863800536,1,sample_102
8,591.5308161741676,218.313016206908,504.4638726702684,239.9796768100827,602.8700654520264,132.69841016906472,484.7569949188673,160.4212872081064,1,sample_102
9,,,504.048489124258,239.74008668287104,602.0008788971797,132.23365470543803,483.8884521314989,160.24462107714282,1,sample_102
10,591.1824262770773,217.2245153846577,503.6159170784244,239.7044760033428,602.204935558883,131.89874285055595,483.1609318412242,160.51428609933862,1,sample_102
11,,,502.608010361338,239.9684665831638,604.577822293701,131.60714058897875,481.2343539457728,161.41877375702524,1,sample_102
12,595.4540123339135,216.62512542764145,500.99651633956495,240.21182749142488,,,478.4831295382954,161.82185467347455,1,sample_102
13,598.2757937078175,217.10936489596943,499.7583954687097,240.4898439839413,,,,,1,sample_102
14,601.6160309393399,218.0715375264369,500.2893473361374,240.80781028146112,619.5258987842894,132.580643811185,474.38589613979184,162.00526068688043,1,sample_102
15,605.743367970112,220.4030848715649,,,,,,,1,sample_102
16,610.548840115143,224.45313100685337,,,632.468773186816,138.4076026978895,476.3667149487255,164.6873965856389,1,sample_102
17,616.908480035205,230.2813724386484,,,639.6475659291717,143.5750651647225,480.5196403922476,168.3112548747235,1,sample_102
18,625.1703489808219,237.55340556541944,,,647.4688552853321,150.25387937414172,,,2,sample_102
19,,,,,,,493.5449896569177,181.64626544357748,2,sample_102
