Frame,Tag ID,Center X,Center Y
1,0,1927.1905518700755,2430.0804791128003
1,1,1992.1991590527425,2026.4559167633038
2,0,1926.6009935133266,2430.291993138192
2,1,1991.0113569408538,2025.763673922312
3,0,1924.809274985454,2431.2715261773706
3,1,1990.118285837309,2024.4317665461858
4,0,1923.1169632761678,2433.2553906817257
4,1,1989.3416524441432,2023.1185071159803
5,0,1921.5307130780889,2435.5632877420953
5,1,1989.1393383863594,2020.7567276172501
6,0,1920.1164444388826,2439.1870912753343
6,1,1989.0743539633152,2017.0556029556708
7,0,1917.8434146806858,2443.5865699066076
7,1,1988.610619966505,2012.0668391728968
8,1,1987.2289367071028,2007.2437264151183
9,1,1985.7213711066138,2003.4604527871275
10,1,1984.0777341973426,2002.0689146015193
11,1,1982.0598950901892,2002.5765870134976
12,1,1978.9670146342294,2003.7258840079935
13,1,1974.8563909091158,2004.5901266773596
14,1,1970.17617988261,2005.3431710375157
15,1,1964.2211068617,2006.2939540444345
16,1,1957.1922188421024,2006.9759645037198
17,1,1948.8196126598054,2007.6056701076209
18,1,1940.2827499075377,2007.138680404848
19,1,1931.8442524391407,2005.5840574929584
20,1,1924.5556990457967,2003.1848068681634
21,1,1917.5658067398517,2000.4594943013378
22,1,1910.6223262773892,1998.7754909052585
23,1,1904.0305783430767,1997.9652377112443
24,1,1898.2411160030572,1996.899755457679
25,1,1891.630039949876,1996.0900535710598
26,1,1885.3769750455144,1996.3511768438407
27,1,1877.563142543926,1997.1381830319806
28,1,1868.9218109778233,1999.2050272276776
29,1,1858.8453444077304,2001.9916701015354
30,1,1846.6120170757927,2005.50076114148
31,1,1832.889627763271,2009.7906098543317
32,1,1816.8763305366754,2016.3902735066704
33,1,1798.9537250829496,2023.7937405083153
34,1,1780.0540695268596,2032.122944729788
35,None,None,None
36,None,None,None
37,None,None,None
38,None,None,None
39,None,None,None
40,None,None,None
41,None,None,None
42,None,None,None
43,None,None,None
44,None,None,None
45,None,None,None
46,None,None,None
47,None,None,None
48,None,None,None
49,None,None,None
50,None,None,None
51,None,None,None
52,None,None,None
53,None,None,None
54,None,None,None
55,None,None,None
56,None,None,None
57,None,None,None
58,None,None,None
59,None,None,None
60,None,None,None
61,None,None,None
62,None,None,None
63,None,None,None
64,None,None,None
65,None,None,None
66,None,None,None
67,None,None,None
68,None,None,None
69,None,None,None
70,None,None,None
71,None,None,None
72,None,None,None
73,None,None,None
74,None,None,None
75,None,None,None
76,None,None,None
77,None,None,None
78,None,None,None
79,None,None,None
80,None,None,None
81,None,None,None
82,None,None,None
83,None,None,None
84,None,None,None
85,None,None,None
86,1,873.0794005844828,2742.6981179189875
87,None,None,None
88,1,875.7651021485751,2739.422190308333
89,None,None,None
90,1,878.400077479743,2738.072619002261
91,1,880.1501611867428,2737.7493980787135
92,1,882.6164227935769,2736.223196340356
93,1,885.7045214276351,2734.4021654434623
94,1,889.8692923477882,2731.217414690818
95,1,894.8441431473206,2728.003249955625
96,1,901.726024638235,2723.352496092245
