Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action
1,,,469.0219011608786,191.1431987600613,549.084322558553,83.26207608129029,,,
2,531.9860653110715,177.09367344688647,468.67138074759674,191.03010827920542,546.5721987331957,82.0910401017575,,,
3,531.710679701153,175.92789784715362,468.75396379268636,190.80517529213466,544.8935699430033,80.94743105462766,443.36488659342047,103.18001781503902,
4,532.1856449130003,174.85940357690598,468.5408458114761,190.39769418564012,543.8331224680488,79.90277192118968,,,
5,532.9046014099652,174.42592638747516,468.3385194275497,190.08167496925614,,,441.61928430021163,103.03794568656878,
6,,,468.3372776424986,189.872674540968,545.3234930738466,79.40873047161962,440.6735374337305,103.13159072098166,
7,535.2179828277602,173.55166527124814,467.80431621521825,189.47645154563548,547.7695825434171,79.32664537523371,,,
8,,,467.0089204617333,189.1461433323062,551.1604075950062,79.0214391431392,436.3691257945603,104.82609937212973,
9,538.7681006222965,172.24027746510345,466.24221993632426,188.02431264735054,554.7649433758799,78.71255379638468,434.0667974007742,105.28949967092588,
10,541.1728408528206,171.71083517369283,465.6658704541915,186.9482850718818,559.6786878607545,78.42374353569674,,,
11,,,465.4488574740937,186.04125915086576,,,,,
12,,,,,,,431.60055376136137,107.76078825886492,
13,,,,,573.9924222819845,82.96616731674486,,,
14,,,,,,,,,
15,,,,,,,442.78835527229904,123.06635909369668,
16,,,,,583.2218967604892,97.08898353849442,449.4104597993075,132.2160773759778,
17,,,,,,,456.75596953227404,143.18496054545432,
18,,,,,595.878093822496,114.1581337999785,465.0039920574526,154.88884586106226,
19,,,,,,,474.33838124545764,166.89763947041257,
20,,,,,612.9352082995113,133.1209834279372,484.4758753904524,179.11310897034633,
21,,,,,622.9690337989907,142.71461204203717,495.302690391227,191.51860450318551,
22,,,,,633.7885684804139,152.36257429485315,506.64758081311,204.21631449095145,
23,,,,,,,517.9730808324208,217.40276900363946,
24,,,,,656.576148569199,172.32042499475577,529.9053818309894,230.80486438318027,
25,,,,,,,541.6923194355905,244.19882872942873,
26,,,,,679.3809983694699,194.06024177749572,553.6115605818219,257.3706895042454,
27,,,,,690.5895106812727,205.03067647809388,565.3306664549533,269.7186102077643,
28,,,,,702.5781160698426,215.6599310116701,577.2434672409507,281.25249876490795,
29,,,,,,,589.1625997664688,292.17218802696004,
30,,,,,,,600.9076622244027,302.4845288311292,
31,,,,,,,611.3891007227272,311.9021710009167,
32,,,,,733.5074770843112,256.16965555318524,620.6327759945311,319.83197797705344,
33,,,,,738.2428716582514,265.85946851356215,629.367928286549,326.9052718694901,
34,,,,,743.2773586321439,273.69070026684346,637.0459128409527,333.5664884322792,
35,,,,,747.6237983452068,281.7816242365457,644.1969910939093,340.1456947408,
36,,,695.2797252144097,437.63060299209513,751.7710962175832,289.3047679353321,650.7760685612056,346.85256673958685,
37,,,700.0240816164448,445.37100387670813,755.752545886429,297.2573501259529,655.9732967704936,354.1599508492652,
38,,,705.0559124500473,452.9273495739186,759.0906758142942,304.70862784648267,661.2784747496295,361.2415819399184,
39,,,710.1253485755592,460.75615613472786,762.5516695840965,312.16238783407414,666.6265481418563,368.3326536364939,
40,,,715.1213941686324,468.9951815969465,765.9486172295472,319.4388186552738,672.1259189096353,375.6011779355559,
41,,,720.0865849122082,477.72566375442153,768.9907141417314,327.2110637658579,677.398614708677,383.0700920039895,
42,793.6402325703805,443.46741507983023,725.6716358873255,485.973632171591,771.6261122585266,335.11956488993593,682.798759603333,390.53172196196317,
43,796.7915801284938,451.97042335855525,731.5194298837253,493.4978572433189,774.1718534990445,343.37439948547666,687.5954865590274,397.87510195996305,
44,,,735.2974097743271,500.32990344053644,776.0383609476945,351.13719991993344,690.8860315622089,405.2179963437497,
45,799.0243371501973,464.2079786980636,736.024906957397,506.4121116023426,776.3291978932564,357.9114496235829,692.4488777162853,412.7069932706373,
46,798.5733175380606,466.78106926509565,731.5959417034317,510.67754336528714,775.2090368133813,364.0734316217304,691.4093455866644,419.6124123327414,
47,799.3914120312589,465.8543448426686,726.6848212175364,511.66548327389125,773.3603573844714,368.1225717062081,688.1362231976021,424.0665564412432,
48,801.8448459463025,466.65990052179836,726.4292157290889,511.8949093943869,776.2443023706729,370.05629254823486,686.461192640623,427.12401527063736,
49,804.4360046273744,469.98404101616086,728.3888339543151,514.0298520781221,779.3330792723686,371.85066979062833,686.8908838207435,429.0287898125258,
50,806.6925141179718,473.6001069530169,730.7049377209735,516.1098480777334,781.0085719788794,373.67869733699683,687.6573515427333,430.3975833582542,
51,806.914075030968,476.2847661786248,731.8975382801301,517.0511728060574,780.1578511704728,375.38732823850205,688.9314002873647,430.9090430243695,
52,806.0564434362125,478.14658137579323,732.334780439667,517.1504581698701,778.8857910817409,376.60275284245677,689.5919250302837,430.95341509499644,
53,806.247894540907,479.5044328372479,732.8460412762288,517.1093911789895,778.602582327253,376.83954458950916,690.097935185254,430.9515204877102,
54,807.0342401797867,480.1477925621909,733.1534854281778,517.1749918471502,779.4426087638928,376.50322023187687,689.8202701746094,431.05878460377477,
55,807.7956119395851,480.8347094624789,733.1054531814739,517.3964212516107,780.1745944626327,376.59263490704683,689.4665982679435,431.4433513206675,
56,808.3200556636107,481.06314713475047,732.898520472226,517.502232145392,780.488935459646,376.71880516186,689.354704193112,431.6561710268701,
57,808.4711597199199,481.3749099680659,733.0263120239764,517.5664472404162,780.4400257175038,376.8604877881961,689.6242819325462,431.64499981498795,
